COD_CLIENTE,NATURA_GIURIDICA,PV,CODICE_ISTAT,FIDO_PAYLINE,DECISIONE,VALUTAZIONE_TEMPI_PAG,GG_PATTUITI,GG_RITARDO,FATTURATO,FATTURATO_MESE,CLASSE_RISCHIO,CLASSE_RISCHIO_DESCR
1339,,PR,,6000.0,Accordabile,Regolari,21.0,0.0,"1142,36","82,14",4,Affidabile
1340,,PR,,6000.0,Accordabile,Regolari,21.0,0.0,"332,1","24,45",4,Affidabile
1341,,PR,,6000.0,Accordabile,Regolari,21.0,0.0,"1105,15","82,19",4,Affidabile
1342,,PR,,6000.0,Accordabile,Regolari,21.0,0.0,"1219,67","86,42",4,Affidabile
1343,,PR,,6000.0,Accordabile,Regolari,21.0,0.0,"647,91","43,63",4,Affidabile
1344,,PR,,6000.0,Accordabile,Regolari,25.0,0.0,"1692,03",0,4,Affidabile
1345,,PR,,6000.0,Accordabile,Regolari,21.0,0.0,"2088,9","121,76",4,Affidabile
1346,,PR,,5000.0,Accordabile,Regolari,21.0,0.0,"822,19","56,77",4,Affidabile
1347,,PR,,2500.0,Accordabile,Dilazionati,21.0,122.0,"2363,08","192,33",4,Affidabile
1348,,PR,,6000.0,Accordabile,Regolari,21.0,0.0,"3141,31","200,39",4,Affidabile
1349,,PR,,6000.0,Accordabile,Regolari,0.0,0.0,"926,52",0,4,Affidabile
1350,Indiv.,PR,6831/07,3000.0,Accordabile,Regolari,22.0,0.0,"2104,79","322,27",4,Affidabile
1351,,PR,,5000.0,Accordabile,Regolari,22.0,0.0,"803,93","50,82",4,Affidabile
1352,,PR,,5000.0,Accordabile,Regolari,25.0,4.0,"3343,86",0,4,Affidabile
1353,,PR,,6000.0,Accordabile,Regolari,21.0,6.0,"7976,93","1771,66",4,Affidabile
1354,,PR,,2500.0,Da ridurre,Dilazionati,20.0,222.0,"16456,18","1916,14",4,Affidabile
1355,Indiv.,PR,01114/07,4150.0,Accordabile,Regolari,23.0,15.0,"4005,41","598,69",4,Affidabile
1356,,PR,,6000.0,Accordabile,Regolari,21.0,0.0,"769,06","52,24",4,Affidabile
1357,,PR,,6000.0,Accordabile,Regolari,21.0,0.0,"324,62","22,34",4,Affidabile
1358,,PR,,5000.0,Accordabile,Regolari,22.0,0.0,"1082,61","71,06",4,Affidabile
1359,,PR,,6000.0,Accordabile,Regolari,21.0,0.0,"348,13","25,44",4,Affidabile
1360,Indiv.,CR,563/07,0.0,Non accordabile,,20.0,2608.0,"515,28",0,6,Non operativa
1361,Indiv.,PR,561/07,5220.0,Accordabile,Regolari,22.0,0.0,"6391,96","910,42",4,Affidabile
1362,Indiv.,PC,47241/07,2500.0,Accordabile,Regolari,23.0,0.0,"3171,65","189,87",4,Affidabile
1363,,PC,,2500.0,Accordabile,Dilazionati,20.0,218.0,"1452,17","253,28",4,Affidabile
1364,Indiv.,PC,49322/07,3000.0,Accordabile,Regolari,23.0,0.0,"419,76","27,66",4,Affidabile
1365,Indiv.,BS,0141/07,4980.0,Accordabile,Regolari,23.0,0.0,"32344,26","4707,58",4,Affidabile
1366,,PC,,6000.0,Accordabile,Regolari,25.0,0.0,"1658,94",0,4,Affidabile
1367,Indiv.,PR,4726/07,2250.0,Accordabile,Regolari,22.0,30.0,"2169,93","217,67",4,Affidabile
1368,Indiv.,PC,,1500.0,Da ridurre,,31.0,1909.0,"2144,12",0,4,Affidabile
1369,,PR,,6000.0,Accordabile,Regolari,21.0,0.0,"511,48","34,35",4,Affidabile
1370,,PR,,6000.0,Accordabile,Regolari,21.0,0.0,"1339,37","91,8",4,Affidabile
1371,Semplice,PR,0141/07,3500.0,Da ridurre,Regolari,22.0,-1.0,"76147,34","8082,41",4,Affidabile
1372,Semplice,BS,015/07,8700.0,Accordabile,Regolari,23.0,0.0,"26115,17","2595,83",4,Affidabile
1373,Indiv.,PC,4941/07,0.0,Non accordabile,,-1.0,-1.0,"273,11",0,6,Non operativa
1374,S.n.c.,RE,563/07,2433.0,Accordabile,Regolari,23.0,19.0,"4506,2","288,86",4,Affidabile
1375,Indiv.,RE,10711/07,7900.0,Accordabile,,-1.0,-1.0,-5,0,4,Affidabile
1376,,PR,,3000.0,Accordabile,Regolari,27.0,2108.0,"407,8",0,4,Affidabile
1377,S.n.c.,RE,,1500.0,Da ridurre,,25.0,1006.0,"3915,14",0,4,Affidabile
1378,S.r.l.u.s.,PR,4671/07,363000.0,Accordabile,Regolari,23.0,0.0,"58673,14","11516,13",4,Affidabile
1379,Indiv.,CR,563/07,2500.0,Accordabile,Regolari,23.0,0.0,"4740,05","372,7",4,Affidabile
1380,,PC,,6000.0,Accordabile,Regolari,25.0,0.0,"356,76",0,4,Affidabile
1381,,PC,,6000.0,Accordabile,Regolari,25.0,0.0,"356,94",0,4,Affidabile
1382,Indiv.,PC,47511/07,3000.0,Accordabile,Regolari,22.0,0.0,"6658,44","497,22",4,Affidabile
1383,S.r.l.,LO,46424/07,1500.0,Accordabile,,21.0,2362.0,"155,79",0,4,Affidabile
1384,S.n.c.,RE,10711/07,7800.0,Accordabile,Regolari,22.0,0.0,"12329,7","1095,07",4,Affidabile
1385,S.n.c.,RE,10711/07,17500.0,Accordabile,Regolari,22.0,0.0,"6915,66",0,4,Affidabile
1386,S.a.s.,RE,10711/07,3050.0,Accordabile,Regolari,22.0,0.0,"27462,04","2343,87",4,Affidabile
1387,,PC,,6000.0,Accordabile,Regolari,24.0,0.0,"1713,18",0,4,Affidabile
1388,,PC,,5000.0,Accordabile,,-1.0,-1.0,"289,4",0,4,Affidabile
1389,,PC,,6000.0,Accordabile,Regolari,24.0,0.0,"373,08",0,4,Affidabile
1390,Indiv.,PR,563/07,0.0,Non accordabile,,23.0,1157.0,"100,52",0,6,Non operativa
1391,,PC,,,No negativita,Dilazionati,21.0,52.0,7614,"994,41",3,No negativita'
1392,Indiv.,PR,960201/07,2500.0,Accordabile,Regolari,22.0,7.0,"1013,89","82,7",4,Affidabile
1393,Indiv.,PR,015/07,4150.0,Accordabile,Prevalentemente regolari,22.0,5.0,"4739,16","263,62",4,Affidabile
1394,Altro,PR,5914/07,6600.0,Accordabile,Regolari,22.0,0.0,"33078,35","3987,46",4,Affidabile
1395,Indiv.,RE,10711/07,0.0,Non accordabile,Ritardi significativi,25.0,909.0,"660,89",0,6,Non operativa
1396,,PC,,6000.0,Accordabile,Regolari,0.0,0.0,"228,18",0,4,Affidabile
1397,,PC,,3000.0,Accordabile,Regolari,22.0,1111.0,"5747,31",0,4,Affidabile
1398,,PC,,6000.0,Accordabile,Regolari,25.0,0.0,"3270,07",0,4,Affidabile
1399,Indiv.,PR,61901/07,3000.0,Accordabile,Regolari,23.0,0.0,"6685,11","441,08",4,Affidabile
1400,S.n.c.,RE,45201/07,8250.0,Accordabile,Regolari,23.0,0.0,"6595,44","770,26",4,Affidabile
1401,,PC,,6000.0,Accordabile,Regolari,21.0,0.0,"26854,67","4707,68",4,Affidabile
1402,,PC,,6000.0,Accordabile,Regolari,21.0,0.0,"323,42","23,16",4,Affidabile
1403,S.n.c.,PC,47761/07,14700.0,Accordabile,Regolari,23.0,0.0,"1741,13","91,84",4,Affidabile
1404,Indiv.,FC,46421/07,5000.0,Accordabile,,22.0,1992.0,"256,01",0,4,Affidabile
1405,S.n.c.,PC,,0.0,Non accordabile,,-1.0,-1.0,"181,19",0,6,Non operativa
1406,Indiv.,PR,56102/07,0.0,Non accordabile,,20.0,2488.0,"222,39",0,6,Non operativa
1407,Indiv.,PC,561011/07,0.0,Non accordabile,,20.0,2573.0,"706,47",0,6,Non operativa
1408,Indiv.,PC,477834/07,4080.0,Accordabile,Regolari,23.0,2.0,"714,06","95,56",4,Affidabile
1409,S.n.c.,PR,45202/07,0.0,Non accordabile,,23.0,2332.0,"3216,15",0,1,Non affidabile
1410,Indiv.,PC,82994/07,2500.0,Accordabile,Regolari,22.0,0.0,"1052,43","82,69",4,Affidabile
1411,,PR,93191/07,3000.0,Da ridurre,Regolari,22.0,0.0,"58709,96","10021,62",4,Affidabile
1412,S.r.l.,RE,10711/07,5040.0,Accordabile,Regolari,23.0,0.0,"9412,61","714,75",4,Affidabile
1413,S.a.s.,RE,563/07,1500.0,Accordabile,,22.0,2546.0,886,0,4,Affidabile
1414,Semplice,BS,015/07,7250.0,Accordabile,Regolari,23.0,0.0,"62237,23","5377,69",4,Affidabile
1415,Semplice,BS,0141/07,31800.0,Accordabile,Regolari,23.0,0.0,"9170,2","664,02",4,Affidabile
1416,Indiv.,BS,015/07,3540.0,Accordabile,Regolari,23.0,0.0,"5089,44","412,93",4,Affidabile
1417,Indiv.,BS,01114/07,1961.0,Da ridurre,Dilazionati,23.0,77.0,"7987,32",0,4,Affidabile
1418,Indiv.,BS,0141/07,2950.0,Accordabile,Regolari,23.0,0.0,"4590,94","327,82",4,Affidabile
1419,Semplice,BS,015/07,8700.0,Accordabile,Regolari,23.0,0.0,"2638,73","230,09",4,Affidabile
1420,Semplice,BS,0141/07,7250.0,Accordabile,Regolari,22.0,0.0,"2888,12","202,61",4,Affidabile
1421,S.a.s.,PR,47114/07,29876.0,Accordabile,Regolari,24.0,0.0,"9191,68","94,25",4,Affidabile
1422,Semplice,BS,0141/07,41400.0,Accordabile,Regolari,23.0,0.0,"720,71","42,44",4,Affidabile
1423,Indiv.,BS,015/07,4980.0,Accordabile,Regolari,23.0,0.0,"542,14","36,32",4,Affidabile
1424,Semplice,BS,015/07,41400.0,Accordabile,Regolari,23.0,0.0,"37200,55","4136,31",4,Affidabile
1425,S.n.c.,PC,4759/07,11250.0,Accordabile,Regolari,23.0,0.0,"2544,61","303,41",4,Affidabile
1426,S.n.c.,RE,682/07,5280.0,Accordabile,Regolari,23.0,0.0,"5771,94","380,49",4,Affidabile
1427,S.n.c.,RE,47299/07,3750.0,Accordabile,Regolari,23.0,0.0,"3214,27","175,07",4,Affidabile
1428,,PC,,6000.0,Accordabile,Regolari,22.0,0.0,"947,67","44,14",4,Affidabile
1429,,PC,,6000.0,Accordabile,Regolari,25.0,0.0,"829,77",0,4,Affidabile
1430,Semplice,BS,015/07,8700.0,Da ridurre,Regolari,23.0,0.0,"183485,49","18210,63",4,Affidabile
1431,,PC,,6000.0,Accordabile,Regolari,25.0,0.0,"454,62",0,4,Affidabile
1432,,PC,,6000.0,Accordabile,Regolari,25.0,0.0,"506,69",0,4,Affidabile
1433,,PC,,6000.0,Accordabile,Regolari,25.0,0.0,"1434,62",0,4,Affidabile
1434,S.n.c.,PC,,0.0,Non accordabile,,-1.0,-1.0,"1262,65",0,6,Non operativa
1435,Indiv.,RE,563/07,0.0,Non accordabile,,21.0,1845.0,"4216,26",0,6,Non operativa
1436,Consortile,PR,682001/07,2500.0,Da ridurre,Regolari,23.0,0.0,"39697,43","5296,51",4,Affidabile
1437,Consortile,PR,682001/07,2500.0,Accordabile,Regolari,22.0,0.0,"14722,26","18,75",4,Affidabile
1438,Indiv.,PC,0147/07,4980.0,Accordabile,Regolari,23.0,0.0,"21208,96","2429,02",4,Affidabile
1439,,PC,,6000.0,Accordabile,Regolari,21.0,0.0,"3842,5","491,5",4,Affidabile
1440,Indiv.,RE,4765/07,3780.0,Accordabile,Regolari,23.0,0.0,"1577,41","105,26",4,Affidabile
1441,,PC,,6000.0,Accordabile,Regolari,25.0,0.0,"582,56",0,4,Affidabile
1442,,PC,,6000.0,Accordabile,Regolari,25.0,0.0,"427,14",0,4,Affidabile
1443,,PC,,6000.0,Accordabile,Regolari,0.0,0.0,"220,81",0,4,Affidabile
1444,,PC,,6000.0,Accordabile,Regolari,25.0,0.0,"584,31",0,4,Affidabile
1445,,PC,,6000.0,Accordabile,Regolari,25.0,8.0,"1475,85",0,4,Affidabile
1446,,PC,,6000.0,Accordabile,Regolari,25.0,0.0,"1430,87",0,4,Affidabile
1447,,PC,,6000.0,Accordabile,Regolari,25.0,0.0,"445,65",0,4,Affidabile
1448,,PC,,6000.0,Accordabile,Regolari,25.0,0.0,"1500,29",0,4,Affidabile
1449,,PC,,6000.0,Accordabile,Regolari,25.0,0.0,"302,88",0,4,Affidabile
1450,Coop.,PC,561011/07,,Da approfondire,,22.0,2291.0,"980,94",0,1,Non affidabile
1451,,PC,,6000.0,Accordabile,Regolari,24.0,0.0,"533,87",0,4,Affidabile
1452,,PC,,6000.0,Accordabile,Regolari,25.0,0.0,"315,63",0,4,Affidabile
1453,,PC,,6000.0,Accordabile,Regolari,25.0,0.0,"643,3",0,4,Affidabile
1454,,PC,,6000.0,Accordabile,Regolari,25.0,0.0,"1897,22",0,4,Affidabile
1455,,PC,,6000.0,Accordabile,Regolari,24.0,0.0,"560,93",0,4,Affidabile
1456,,PC,,6000.0,Accordabile,Regolari,25.0,0.0,"681,87",0,4,Affidabile
1457,S.n.c.,CR,47711/07,5160.0,Accordabile,Regolari,23.0,0.0,"1453,71","106,3",4,Affidabile
1458,S.r.l.,PR,47521/07,22500.0,Accordabile,Regolari,22.0,0.0,"7318,48","690,92",4,Affidabile
1459,Indiv.,PC,10712/07,0.0,Non accordabile,,20.0,2452.0,"996,23",0,6,Non operativa
1460,Indiv.,PC,56102/07,0.0,Non accordabile,,22.0,1498.0,"423,12",0,6,Non operativa
1461,,PC,,6000.0,Accordabile,Regolari,21.0,0.0,"4383,94","397,53",4,Affidabile
1462,,LO,,6000.0,Accordabile,Regolari,21.0,0.0,"1252,22","84,37",4,Affidabile
1463,S.r.l.,PC,681/07,161680.0,Accordabile,Prevalentemente regolari,25.0,24.0,"7188,36",0,4,Affidabile
1464,Indiv.,RE,47622/07,10800.0,Accordabile,Regolari,23.0,-1.0,"1292,95","86,29",4,Affidabile
1465,Indiv.,RE,47114/07,2416.0,Accordabile,Regolari,22.0,20.0,"7171,82","406,87",4,Affidabile
1466,S.r.l.u.s.,PC,71124/07,9750.0,Accordabile,Regolari,0.0,0.0,"1065,26",0,4,Affidabile
1467,Indiv.,PC,96041/07,0.0,Non accordabile,Ritardi,22.0,732.0,"1493,92",0,6,Non operativa
1468,S.r.l.,PR,2511/07,1600.0,Accordabile,Regolari,23.0,0.0,"6665,68","1056,99",4,Affidabile
1469,Semplice,BS,01114/07,4200.0,Accordabile,Regolari,22.0,0.0,"3427,55","248,02",4,Affidabile
1470,Semplice,BS,0161/07,8700.0,Accordabile,Regolari,23.0,0.0,"11111,5","660,4",4,Affidabile
1471,Semplice,BS,0141/07,2500.0,Da ridurre,Dilazionati,22.0,8.0,"88467,02","6300,89",4,Affidabile
1472,Indiv.,BS,015/07,4150.0,Accordabile,Regolari,23.0,0.0,"6622,86","544,83",4,Affidabile
1473,Indiv.,PR,6831/07,3000.0,Accordabile,Regolari,23.0,-8.0,"983,92","64,92",4,Affidabile
1474,Indiv.,PC,563/07,5820.0,Accordabile,Regolari,23.0,0.0,"14515,57","1407,42",4,Affidabile
1475,Indiv.,PR,960202/07,0.0,Non accordabile,Regolari,24.0,0.0,"795,6","132,21",6,Non operativa
1476,Indiv.,PR,47591/07,0.0,Non accordabile,,23.0,2074.0,"1596,88",0,1,Non affidabile
1477,S.r.l.,BS,9312/07,0.0,Non accordabile,Dilazionati,-1.0,-1.0,"1004,69",0,2,Cautela
1478,Indiv.,PR,4722/07,1500.0,Accordabile,Dilazionati,21.0,1969.0,"613,81",0,4,Affidabile
1479,S.r.l.,PR,551/07,1500.0,Accordabile,Regolari,23.0,0.0,"1700,93","134,26",4,Affidabile
1480,S.a.s.,PR,63111/07,5000.0,Accordabile,,-1.0,-1.0,"-942,03",0,4,Affidabile
1481,,PR,,5000.0,Accordabile,,-1.0,-1.0,"141,89",0,4,Affidabile
1482,,PC,,6000.0,Accordabile,Regolari,25.0,0.0,"1606,48",0,4,Affidabile
1483,,PC,,6000.0,Accordabile,Regolari,25.0,0.0,"2575,1",0,4,Affidabile
1484,,PC,,6000.0,Accordabile,Regolari,25.0,0.0,"2302,66",0,4,Affidabile
1485,,PC,,6000.0,Accordabile,Regolari,25.0,0.0,"415,95",0,4,Affidabile
1486,,PC,,6000.0,Accordabile,Regolari,25.0,0.0,"2254,05",0,4,Affidabile
1487,,PC,,6000.0,Accordabile,Regolari,24.0,0.0,"4467,28","86,01",4,Affidabile
1488,,PR,,6000.0,Accordabile,Regolari,21.0,0.0,"1018,59","77,11",4,Affidabile
1489,,PC,,6000.0,Accordabile,Regolari,25.0,0.0,"1094,36",0,4,Affidabile
1490,,PC,,6000.0,Accordabile,Regolari,25.0,0.0,"2921,9",0,4,Affidabile
1491,,PC,,6000.0,Accordabile,Regolari,25.0,0.0,"706,23",0,4,Affidabile
1492,,PC,,6000.0,Accordabile,Regolari,25.0,0.0,"1174,27",0,4,Affidabile
1493,,PC,,5000.0,Accordabile,Regolari,25.0,8.0,"1425,13",0,4,Affidabile
1494,,PC,,6000.0,Accordabile,Regolari,25.0,0.0,"3048,65",0,4,Affidabile
1495,,PC,,6000.0,Accordabile,Regolari,25.0,0.0,"1496,72",0,4,Affidabile
1496,,PC,,6000.0,Accordabile,Regolari,25.0,0.0,"2014,18",0,4,Affidabile
1497,,PR,,6000.0,Accordabile,Regolari,24.0,0.0,"404,49",0,4,Affidabile
1498,,PC,,6000.0,Accordabile,Regolari,24.0,0.0,"611,41",0,4,Affidabile
1499,,PC,,6000.0,Accordabile,Regolari,25.0,0.0,"1056,89",0,4,Affidabile
1500,,PC,,6000.0,Accordabile,Regolari,25.0,0.0,"5985,75",0,4,Affidabile
1501,,PR,,6000.0,Accordabile,Regolari,23.0,3.0,"736,57","62,34",4,Affidabile
1502,,PC,,6000.0,Accordabile,Regolari,25.0,0.0,"357,59",0,4,Affidabile
1503,,PC,,6000.0,Accordabile,Regolari,25.0,0.0,"499,44",0,4,Affidabile
1504,,PC,,6000.0,Accordabile,Regolari,25.0,0.0,"642,73",0,4,Affidabile
1505,,PC,,6000.0,Accordabile,Regolari,25.0,0.0,"644,46",0,4,Affidabile
1506,Indiv.,PR,960201/07,3000.0,Accordabile,Regolari,23.0,0.0,"981,34","103,4",4,Affidabile
1507,,PC,,6000.0,Accordabile,Regolari,25.0,0.0,"809,86",0,4,Affidabile
1508,,PC,,6000.0,Accordabile,Regolari,25.0,0.0,"969,87",0,4,Affidabile
1509,,PC,,6000.0,Accordabile,Regolari,25.0,0.0,"1956,11",0,4,Affidabile
1510,,PC,,6000.0,Accordabile,Regolari,25.0,0.0,"1396,03",0,4,Affidabile
1511,S.r.l.s.,PC,551/07,,Da approfondire,,22.0,2437.0,"1724,89",0,4,Affidabile
1512,,PC,,6000.0,Accordabile,Regolari,25.0,0.0,"4065,86",0,4,Affidabile
1513,,PC,,6000.0,Accordabile,Regolari,25.0,0.0,"1874,28",0,4,Affidabile
1514,,PC,,6000.0,Accordabile,Regolari,25.0,0.0,"464,54",0,4,Affidabile
1515,,PC,,6000.0,Accordabile,Regolari,25.0,0.0,"693,91",0,4,Affidabile
1516,,PC,,6000.0,Accordabile,Regolari,25.0,0.0,"746,19",0,4,Affidabile
1517,,PC,,6000.0,Accordabile,Regolari,23.0,0.0,"660,9","27,12",4,Affidabile
1518,,PC,,6000.0,Accordabile,Regolari,25.0,0.0,"324,95",0,4,Affidabile
1519,,PC,,6000.0,Accordabile,Regolari,25.0,0.0,"425,1",0,4,Affidabile
1520,,PC,,6000.0,Accordabile,Regolari,25.0,0.0,"3501,23",0,4,Affidabile
1521,,PC,,6000.0,Accordabile,Regolari,25.0,0.0,"895,34",0,4,Affidabile
1522,,PC,,6000.0,Accordabile,Regolari,25.0,0.0,"684,72",0,4,Affidabile
1523,,PC,,6000.0,Accordabile,Regolari,25.0,0.0,"361,1",0,4,Affidabile
1524,,PC,,6000.0,Accordabile,Regolari,0.0,0.0,"232,98",0,4,Affidabile
1525,,PC,,6000.0,Accordabile,Regolari,25.0,0.0,"712,48",0,4,Affidabile
1526,,PC,,6000.0,Accordabile,Regolari,25.0,0.0,"388,08",0,4,Affidabile
1527,,PC,,6000.0,Accordabile,Regolari,25.0,0.0,"411,83",0,4,Affidabile
1528,,PC,,6000.0,Accordabile,Regolari,25.0,0.0,"363,3",0,4,Affidabile
1529,,PC,,6000.0,Accordabile,Regolari,25.0,0.0,"373,65",0,4,Affidabile
1530,,PC,,6000.0,Accordabile,Regolari,25.0,0.0,"1336,02",0,4,Affidabile
1531,,PC,,6000.0,Accordabile,Regolari,22.0,0.0,"14509,33","1865,56",4,Affidabile
1532,Indiv.,RE,561011/07,0.0,Non accordabile,Regolari,23.0,0.0,"3596,25","242,73",6,Non operativa
1533,,PC,,6000.0,Accordabile,Regolari,25.0,0.0,"828,44",0,4,Affidabile
1534,,PC,,6000.0,Accordabile,Regolari,25.0,0.0,"799,3",0,4,Affidabile
1535,,PC,,0.0,Non accordabile,Ritardi,26.0,105.0,"60242,18","3236,72",2,Cautela
1536,,PC,,3125.0,Accordabile,Prevalentemente regolari,25.0,85.0,"4571,62",0,4,Affidabile
1537,,PC,,2500.0,Da ridurre,Prevalentemente regolari,22.0,537.0,"46384,14","3152,12",4,Affidabile
1538,,PC,,6000.0,Accordabile,Regolari,25.0,0.0,"381,76",0,4,Affidabile
1539,,PC,,0.0,Non accordabile,Ritardi,25.0,172.0,"594,76",0,2,Cautela
1540,,PC,,6000.0,Accordabile,Regolari,25.0,-1.0,"573,79",0,4,Affidabile
1541,S.r.l.,PR,551/07,,Da approfondire,Regolari,22.0,2.0,"4018,07","810,97",2,Cautela
1542,Indiv.,PC,01114/07,0.0,Non accordabile,Regolari,23.0,0.0,"551,34","32,39",6,Non operativa
1543,S.a.s.,PC,13921/07,13500.0,Accordabile,Regolari,21.0,0.0,"909,78","177,56",4,Affidabile
1544,Semplice,BS,0141/07,17400.0,Accordabile,Regolari,-1.0,-1.0,"440,75",0,4,Affidabile
1545,S.r.l.,BZ,451901/07,22290.0,Accordabile,Regolari,22.0,0.0,"85598,13","10877,16",4,Affidabile
1546,Indiv.,BS,015/07,3984.0,Accordabile,Regolari,23.0,21.0,"8047,11","667,28",4,Affidabile
1547,Indiv.,BS,0147/07,4980.0,Accordabile,Regolari,23.0,0.0,"8725,69","151,11",4,Affidabile
1547,Indiv.,BS,0147/07,4980.0,Accordabile,Regolari,23.0,0.0,"8725,69","151,11",4,Affidabile
1548,Semplice,BS,015/07,7250.0,Accordabile,Regolari,23.0,0.0,"32993,35","3849,21",4,Affidabile
1549,S.r.l.,PC,71121/07,0.0,Non accordabile,Regolari,21.0,1785.0,"208,89",0,1,Non affidabile
1550,S.p.A.,CR,242/07,565000.0,Accordabile,Regolari,21.0,0.0,"143696,68","29064,51",4,Affidabile
1551,Indiv.,PR,960202/07,5000.0,Accordabile,,-1.0,-1.0,"502,4",0,4,Affidabile
1552,Indiv.,RE,47293/07,2500.0,Accordabile,Regolari,23.0,2.0,"3891,7","235,01",4,Affidabile
1553,Indiv.,CR,4761/07,0.0,Non accordabile,Dilazionati,23.0,0.0,"169,57",0,6,Non operativa
1554,Indiv.,PR,56103/07,0.0,Non accordabile,,21.0,2548.0,"122,04",0,6,Non operativa
1555,,PC,,0.0,Non accordabile,Ritardi significativi,23.0,222.0,"5106,74","484,16",2,Cautela
1556,S.r.l.,PR,453101/07,4650.0,Accordabile,Regolari,21.0,0.0,"116,52",0,4,Affidabile
1557,Indiv.,RE,47712/07,5000.0,Accordabile,Prevalentemente regolari,-1.0,-1.0,"-150,52",0,4,Affidabile
1558,Indiv.,PC,47114/07,3000.0,Accordabile,Regolari,23.0,0.0,"6338,6","544,64",4,Affidabile
1559,S.n.c.,RE,,1500.0,Accordabile,,22.0,2195.0,"937,4",0,4,Affidabile
1560,Indiv.,RE,4711/07,8880.0,Accordabile,Regolari,-1.0,-1.0,"181,11",0,4,Affidabile
1561,Indiv.,PC,4726/07,5520.0,Accordabile,Regolari,23.0,-2.0,"2063,91","142,13",4,Affidabile
1562,,PC,,5000.0,Accordabile,Regolari,21.0,12.0,"1154,49","83,25",4,Affidabile
1563,,PC,,6000.0,Accordabile,Regolari,25.0,0.0,"1453,9",0,4,Affidabile
1564,S.n.c.,CR,10711/07,8400.0,Accordabile,Regolari,23.0,0.0,"19105,2","1696,19",4,Affidabile
1565,Indiv.,BS,015/07,2950.0,Accordabile,Regolari,23.0,0.0,"27307,47","1631,33",4,Affidabile
1566,Indiv.,BS,0141/07,4980.0,Accordabile,Regolari,23.0,0.0,"7926,9","670,15",4,Affidabile
1567,S.r.l.u.s.,PR,2561/07,16500.0,Accordabile,Regolari,-1.0,-1.0,"2955,03",0,4,Affidabile
1568,S.r.l.,PR,451101/07,4755.0,Accordabile,Regolari,22.0,0.0,"10572,18","1415,35",4,Affidabile
1569,,PR,,6000.0,Accordabile,Regolari,25.0,0.0,"631,15",0,4,Affidabile
1570,,PR,,6000.0,Accordabile,Regolari,25.0,5.0,"2448,51",0,4,Affidabile
1571,,PR,,6000.0,Accordabile,Regolari,24.0,0.0,"6749,19",0,4,Affidabile
1572,,PR,,5959.0,Accordabile,Regolari,25.0,16.0,"832,94",0,4,Affidabile
1573,,PR,,6000.0,Accordabile,Regolari,25.0,0.0,"739,82",0,4,Affidabile
1574,,PR,,6000.0,Accordabile,Regolari,25.0,0.0,"2750,74",0,4,Affidabile
1575,,PR,,6000.0,Accordabile,Regolari,25.0,0.0,"766,52",0,4,Affidabile
1576,,PR,,6000.0,Accordabile,Regolari,25.0,0.0,"676,49",0,4,Affidabile
1577,,PR,,6000.0,Accordabile,Regolari,24.0,0.0,"6324,19",0,4,Affidabile
1578,,PR,,6000.0,Accordabile,Regolari,25.0,0.0,"1362,31",0,4,Affidabile
1579,,PR,,6000.0,Accordabile,Regolari,25.0,0.0,"2405,8",0,4,Affidabile
1580,,PR,,5000.0,Accordabile,Regolari,25.0,5.0,"3966,76",0,4,Affidabile
1581,,PR,,2600.0,Da ridurre,Prevalentemente regolari,21.0,114.0,"24042,16","2780,61",4,Affidabile
1582,,PR,,6000.0,Accordabile,Regolari,25.0,0.0,"495,81",0,4,Affidabile
1583,,PR,,6000.0,Accordabile,Regolari,25.0,0.0,"8194,8",0,4,Affidabile
1584,,PR,,6000.0,Accordabile,Regolari,25.0,0.0,"351,73",0,4,Affidabile
1585,,PR,,6000.0,Accordabile,Regolari,25.0,0.0,"373,91",0,4,Affidabile
1586,,PR,,6000.0,Accordabile,Regolari,25.0,0.0,"382,74",0,4,Affidabile
1587,,PR,,6000.0,Accordabile,Regolari,25.0,0.0,"364,5",0,4,Affidabile
1588,,PR,,4633.0,Accordabile,Regolari,25.0,26.0,"1550,99",0,4,Affidabile
1589,,PR,,6000.0,Accordabile,Regolari,24.0,0.0,"1147,04",0,4,Affidabile
1590,,PR,,6000.0,Accordabile,Regolari,25.0,0.0,"304,83",0,4,Affidabile
1591,,PR,,6000.0,Accordabile,Regolari,25.0,0.0,"312,06",0,4,Affidabile
1592,,PR,,6000.0,Accordabile,Regolari,25.0,0.0,"373,64",0,4,Affidabile
1593,,PR,,6000.0,Accordabile,Regolari,24.0,0.0,"334,97",0,4,Affidabile
1594,,PR,,6000.0,Accordabile,Regolari,25.0,8.0,"400,58",0,4,Affidabile
1595,,PR,,6000.0,Accordabile,Regolari,25.0,0.0,"432,29",0,4,Affidabile
1596,,PR,,6000.0,Accordabile,Regolari,25.0,0.0,"420,64",0,4,Affidabile
1597,,PR,,6000.0,Accordabile,Regolari,25.0,0.0,"392,54",0,4,Affidabile
1598,,PR,,6000.0,Accordabile,Regolari,25.0,0.0,"810,78",0,4,Affidabile
1599,,PR,,6000.0,Accordabile,Regolari,25.0,6.0,"1137,84",0,4,Affidabile
1600,,PR,,6000.0,Accordabile,Regolari,25.0,0.0,"868,38",0,4,Affidabile
1601,,PR,,6000.0,Accordabile,Regolari,25.0,0.0,"741,51",0,4,Affidabile
